Table,Score,Penalty,Table_Size,Atlanta,London,Montreal,Princeton,Sao Paulo,ACG,CCG,PTR,SPC,SPT,COVID_JOINER,PRE_COVID_JOINER,F,M,N
1,111.0,0,7,3,0,1,1,2,1,1,0,4,1,2,5,2,5,0
2,128.0,0,8,3,1,1,1,2,1,2,0,4,1,3,5,3,5,0
3,103.0,0,7,3,1,1,0,2,1,2,0,3,1,2,5,2,5,0
4,94.0,0,7,2,1,1,1,2,1,2,1,3,0,3,4,2,5,0
5,90.0,0,7,3,0,1,1,2,0,2,1,3,1,3,4,2,4,1
6,127.0,0,8,3,0,1,1,3,1,2,1,4,0,3,5,2,5,1
7,115.0,0,8,3,1,1,1,2,1,2,1,3,1,3,5,3,5,0
8,128.0,0,8,3,1,1,0,3,1,2,1,4,0,3,5,2,5,1
9,103.0,0,7,3,0,1,1,2,1,2,0,3,1,2,5,2,5,0
